dataset	model	collaboration_setting	experiment	theme
covid_tweets	topic_model	async	async_1	Pro Trump and against Biden/Obama
covid_tweets	topic_model	async	async_1	Dispelling misinformation regarding death
covid_tweets	topic_model	async	async_1	Vaccine availability
covid_tweets	topic_model	async	async_1	2nd dose side effects
covid_tweets	topic_model	async	async_1	Comparisons to other virus vaccines
covid_tweets	topic_model	async	async_1	Anger over mask mandates
covid_tweets	topic_model	async	async_1	Reminders of the 2nd vaccine
covid_tweets	topic_model	async	async_1	Origin of the vaccine
covid_tweets	topic_model	async	async_1	Discussing vaccines in schools
covid_tweets	topic_model	async	async_1	Positive outcomes of vaccine
covid_tweets	topic_model	async	async_1	Concerns regarding Johnson and Johnson vaccine
covid_tweets	topic_model	async	async_1	CVS job openings
covid_tweets	topic_model	async	async_1	Information aimed towards minority communities
covid_tweets	topic_model	async	async_1	Against anti-vaxxers
covid_tweets	topic_model	async	async_1	Calling out liars
covid_tweets	topic_model	async	async_1	Free food for vaccinated people
covid_tweets	topic_model	async	async_1	Vaccine card mandates
covid_tweets	topic_model	async	async_1	Vaccine hesistancy
covid_tweets	topic_model	async	async_1	Vaccine appointment info
covid_tweets	topic_model	async	async_2	VaccineRolloutNews
covid_tweets	topic_model	async	async_2	AntiTrump
covid_tweets	topic_model	async	async_2	VaccineSideEffects
covid_tweets	topic_model	async	async_2	VaccineTestScience
covid_tweets	topic_model	async	async_2	HopefulPeopleGetVaccinated
covid_tweets	topic_model	async	async_2	WhereToGetVaccine
covid_tweets	topic_model	async	async_2	FDANews&Discourse
covid_tweets	topic_model	async	async_2	VaccinePassportNews
covid_tweets	topic_model	async	async_2	FakeNews
covid_tweets	topic_model	async	async_2	VaccineAdvocacy
covid_tweets	topic_model	async	async_2	AntiRepublican
covid_tweets	topic_model	async	async_2	AntiDemocrat
covid_tweets	topic_model	async	async_2	PandemicNews
covid_tweets	topic_model	async	async_2	VaccineHesitancy
covid_tweets	topic_model	async	async_2	POCVaccineAwareness
covid_tweets	topic_model	async	async_2	FightingDisinformation
covid_tweets	topic_model	async	async_2	VaccineChildRisk
covid_tweets	topic_model	async	async_2	VaccineProblemsNews
covid_tweets	topic_model	async	async_3	Anti-Biden and Pro-Trump Sentiment
covid_tweets	topic_model	async	async_3	Comparing the COVID Vaccine to other Deadly Disease Vaccines(polio,measles)
covid_tweets	topic_model	async	async_3	Anger towards COVID Deniers/COVID Deniers Passing Away
covid_tweets	topic_model	async	async_3	Immediate After-Effects from COVID Vaccine(soreness,nausea)
covid_tweets	topic_model	async	async_3	Family Members Receiving the COVID Vaccine
covid_tweets	topic_model	async	async_3	Vaccine Eligibility Updates
covid_tweets	topic_model	async	async_3	Proof of Vaccination(vaccine card/passport)
covid_tweets	topic_model	async	async_3	Adverse Childhood Experience's being casued by COVID
covid_tweets	topic_model	async	async_3	COVID Vaccine causing Blood Clots
covid_tweets	topic_model	async	async_3	Unknown Long-Term Effects of COVID Vaccine
covid_tweets	topic_model	async	async_3	Become a Pharmacy Technician Alerts
covid_tweets	topic_model	async	async_3	COVID FDA Approval Status
covid_tweets	topic_model	async	async_3	Anger Towards Republicans Lying about COVID
covid_tweets	topic_model	async	async_3	Giving Info about COVID and the Vaccine to Minorities in America
covid_tweets	topic_model	async	async_3	Walgreens Vaccine Appointment Updates
covid_tweets	topic_model	sync	group_1	trump supporters saying biden is wrongfully taking credit for vaccine
covid_tweets	topic_model	sync	group_1	side effects of vaccine
covid_tweets	topic_model	sync	group_1	announcing vaccine eligibility
covid_tweets	topic_model	sync	group_1	wholesome reactions to getting the vaccine
covid_tweets	topic_model	sync	group_1	inefficacy of vaccine
covid_tweets	topic_model	sync	group_1	corelation between trauma and covid
covid_tweets	topic_model	sync	group_1	halting vaccination due to adverse effects
covid_tweets	topic_model	sync	group_1	proof of vaccine
covid_tweets	topic_model	sync	group_1	appeal to get vaccinated
covid_tweets	topic_model	sync	group_1	covid related deaths
covid_tweets	topic_model	sync	group_1	advertising for covid related jobs
covid_tweets	topic_model	sync	group_1	freebies with proof of vaccine
covid_tweets	topic_model	sync	group_1	concerns about  effects of vaccines
covid_tweets	topic_model	sync	group_1	disproportionate impact and equitable recover across racial lines
covid_tweets	topic_model	sync	group_1	political conspiracy / nicki minaj controversy
covid_tweets	topic_model	sync	group_1	vaccine appointments
covid_tweets	topic_model	sync	group_2	criticism of governments' response to vaccine
covid_tweets	topic_model	sync	group_2	family covid vaccine experience
covid_tweets	topic_model	sync	group_2	immediate personal side effects
covid_tweets	topic_model	sync	group_2	state vaccine eligibility
covid_tweets	topic_model	sync	group_2	non-covid vaccine comparision
covid_tweets	topic_model	sync	group_2	institutional adverse childhood experiences
covid_tweets	topic_model	sync	group_2	vaccine certification
covid_tweets	topic_model	sync	group_2	anti-vaccine conspiracy outcomes
covid_tweets	topic_model	sync	group_2	pharmacy hiring
covid_tweets	topic_model	sync	group_2	FDA vaccine approval
covid_tweets	topic_model	sync	group_2	long term side effects
covid_tweets	topic_model	sync	group_2	community vaccine equity
covid_tweets	topic_model	sync	group_2	vaccine side effects/ Nicki Minaj
covid_tweets	topic_model	sync	group_2	covid appointment
covid_tweets	relational	async	async_1	Receiving_first_dose_of_covid_vaccine
covid_tweets	relational	async	async_1	Criticising_political_figures
covid_tweets	relational	async	async_1	Promoting_covid_related_news_articles
covid_tweets	relational	async	async_1	Vaccine_accessibility_and_distribution
