theme	tweets
AntiGunBan	"Gas prices skyrocketing. Energy costs up triple digits. Grocery stores running out of basic goods — just in time for the holidays. This is your gift  🎁 from the Democrats — so give it back to them and register Republican! ⤵️

You can dump the Dems in two mins, on your phone ➡️  https://vote.gop/?utm_source=106087. "
AntiGunBan	ACT NOW: Iowa consumers shouldn’t have their fuel choices dictated by government mandates, but that’s exactly what will happen if HF 2128 passes.
AntiWoke	Do you know what’s going on in your kid’s school? The three R’s – reading, writing, and arithmetic – have taken a back seat to a fourth R. Max Eden, Senior Fellow at the Manhattan Institute, explains what that fourth R is, and why it’s so destructive.
AntiWoke	"""Faces of those who want to tax your homes""
These are the faces of the people who want to tax grandma and grandpa out of their homes, all because the school employees demand a $22,540,000.00 million dollar pay raise!
These out-of-touch people do not care that families are struggling to pay bills, put food on the table and just survive this financial crisis. 

This entitled, selfish group of educational elitists firmly believes that they have the ""right to tax your homes every 4-5 years and you should just get used to it!"" 

The Taxpayers should just ""shut up"", and as the yes PAC supporters have said publically, which the school board refuses to denounce, telling our Senior  Citizens that they ""should just move out or DIE!""

These are the very people who have ""divided our community into have's and have not."" They have brought hate and intolerance into Bellbrook-Sugarcreek.

This ""cult of hate"" has used personal attacks as a political weapon for the personal destruction of their political opponents all in an effort to hold on to the power they wield over our school district.

These despicable people proudly declared open WAR on every VOTE NO supporters in our community.

On May 4th, VOTE NO, accept their challenge of battle and defeat them at the ballot box, and hand them their 4th levy defeat.

NO MEANS NO!"
ProtectEnvironment	Did you know? Drilling an oil well in Illinois typically takes about 4-5 days and directly or indirectly supports 40-50 jobs across 6-10 companies. Completing a well directly or indirectly supports another 20 jobs. Find out more about each step of the drilling process in this IPRB educational video: https://www.youtube.com/watch?v=cHfA4P8MMYc. 
ProtectEnvironment	"We have officially opened up applications for our #PowerPastFrackedGas 2021 Partner Grant! 

Now through Friday, July 16 at 11:59 pm PST we are accepting requests for funding from organizations supporting community-led projects that strategize against fracked gas infrastructure and, by extension, environmental racism in all forms. We hope to support the robust organizing landscapes that build our movements and look forward to reviewing your application.

For more information and to apply, visit: https://bit.ly/3gnEnIh. "
CleanEnergyWorks	"Government-Controlled Power comes with a price tag of $13,500,000,000  – three times Maine’s annual budget. 

Get the facts: www.maineaffordableenergy.org. "
CleanEnergyWorks	Advocates on all sides agree that HB 2730 both protects and improves private property rights AND ensures critical infrastructure such as roads, electric lines and pipelines can be built. Send an email to your State Rep. urging them to SUPPORT HB 2730: https://p2a.co/0EhkT0k. 
ActionAgainstDemSpending	Most folks probably don’t think of Illinois as major oil and natural gas industry state, but it is. The Illinois Petroleum Resources Board (IPRB) highlights the economic impact the industry makes in the state in a new video, with emphasis on the exploration and production sector of the industry.
ActionAgainstDemSpending	While trial lawyers try to kill the oil and gas industry, it’s up to us to save our jobs.
IndigenousAndBlackAdvocacy	"#BREAKING: Speaker Announcement! Joining us at CCR Convention 2021... Ambassador Richard Grenell! 🔥 

Amb. Grenell served as Ambassador to Germany and Acting Director of National Intelligence during the Trump Administration. He has been an advocate for many of the Trump admin policies, the MAGA movement, and the need to oust Governor Gavin Newsom! We look forward to him joining us on July 10th. 🇺🇸 Tickets (public can watch on zoom!) 👉 cacollegegop.com/convention

For more background on Ambassador Grenell:

Richard A. Grenell was confirmed by the United States Senate as United States Ambassador to Germany on April 26, 2018 and served until May of 2020. Grenell was appointed Presidential Envoy for Kosovo-Serbia Negotiations in 2019, and as Acting Director of National Intelligence in 2020. Grenell also led the U.S. government’s initiative to Decriminalize Homosexuality in more than 70 countries around the world. 
 
Grenell started his tenure in Berlin by successfully negotiating with German businesses to sever their ties with the Islamic Regime in Iran and getting the German government to accept the return of former Nazi prison guard Jakiw Palij. He also successfully pressured the German government to increase its defense spending, ban Hezbollah in Germany, and shut down the North Korean Youth Hostel in Berlin. Grenell also focused on stopping the Nord Stream 2 Russian gas pipeline, combating anti-Semitism, and growing German companies’ investment in the U.S.     
 
As Acting Director of National Intelligence, Grenell streamlined the intelligence community, implemented $19 million in budget savings, and declassified documents related to the Russian investigation that had been previously unreleased.  
 
Grenell was the longest-serving U.S. Spokesman at the U.N. serving from 2001 to 2008 and advising four U.S. Ambassadors.  In 2004, he was appointed as Alternative Representative to the U.N. Security Council with full voting rights and privileges.   
 
He has served as the primary communications adviser for public officials at the local, state, federal, and international levels.  In 2012, he briefly served as National Security and Foreign Affairs Spokesman for Presidential Candidate Mitt Romney, making him the first openly gay spokesman for a Republican Presidential candidate. Grenell is also the first openly gay U.S. Government Cabinet official. 
 
Grenell previously taught at the University of Southern California's Annenberg School of Communications and is currently a Fellow at Carnegie Mellon University. He received his Master's Degree in Public Administration from Harvard University's John F. Kennedy School of Management and his Bachelor's Degree in Government and Public Administration from Evangel University."
PassBidenAct	Rep. O’Halleran: Investing in clean energy can help tribal communities build back better.
AntiOilPolitician	Katlyn Mullins is a Mining Engineering student set to graduate from the University of Kentucky in May 2022. She would like to pursue a career within the mining industry, specializing in production. Katlyn is a recipient of the Friends of Coal Scholarship, which has allowed her to pay for classes and housing. When you purchase a Friends of Coal license plate, you are supporting students like Katlyn.
AntiPropertyTax	"Residents of Franklin County are going to want to take advantage of this unique opportunity 👀

For a limited time we are offering $500 cash to eligible households just for switching to natural gas 💵 💵 💵

How do you get your $500?
✅ Click [Learn More]
✅ Review the Coverage Map
✅ Sign up for a free estimate
✅ Receive $500 cash once the conversion is complete

So don't wait, sign up for a free estimate today!"
ProUSOilIndustry	"After postponing last year’s show – the first disruption since World War II – because of the COVID-19 pandemic, the Permian Basin International Oil Show will open its gates Oct. 19-21.

https://www.mrt.com/oilreport_specialedition/article/Oil-Show-organizers-ready-welcome-back-industry-16543654.php. "
ProtectRivers	Your legislator, Representative Alec Garnett, was a champion for Colorado’s rivers this legislative session! That means a stronger economy, better resiliency in the face of climate change, and restoring our rivers. Show your support for our rivers by signing our card today!
TPUSAAd	"TPUSA LIVE is the unfiltered, grassroots alternative to mainstream media. Watch daily shows, live in-studio content from TPUSA HQ and weekly shows covering politics, pop-culture, sports and everything in-between. Tune in every weekday starting at 5 PM ET / 2 PM PT.

Check out today’s show! 

Human Events Daily host Jack Posobiec discusses what the Milwaukee DA said about the Christmas parade murderer, China plans to establish a Naval Base in the Atlantic Ocean, the White House urges Ukraine defense amid Hunter Biden and more!

The TPUSA LIVE team is joined by host, Jon Root, and special guests Morgan Zegers and GETTR Senior VP of Marketing and Global Engagement, Kaelan Dorr who will talk about social media and free speech, big tech collusion, Beijing Olympics and more!

Freedom Papers host Morgan Zegers covers Federalist 8, detailing Alexander Hamilton's continued warning & advice on how best to prevent conflict between states, why and how a union exists & the consequences that hostility can bring.

We will wrap up the show with POPlitics with Alex Clark as she dives into the shocking CIA cover-up, footage of pro-abortion activists outside The Supreme Court, 'Freak of the Week' and more!"
EVCharging	As we enter the summer season, we think of heat, hotdogs and hurricane season. Now is the time to start gearing up for hurricane season. Click here to learn more about how you can get #HurricaneReady: https://gov.texas.gov/hurricane. 
OilTheft	"New regulation was recently passed, by the Arizona Corporation Commission, limiting access to solar!

While this is unwelcome news for SunSolar Solutions, and homeowners, there’s still time for most Arizona homeowners to receive their solar estimates, without any hassle!

Unfortunately, information has not yet been released to the public regarding how close 85383 is to reaching its limit, and it could be reached at any time.
 
So don’t miss out! Join over 7,000 of your neighbors that have requested estimates, from SunSolar Solutions, by clicking “Get Quote” today!"
pro-2A	"🚨 Sign this petition to tell Nancy Pelosi and Rita Hart for Iowa  to stop their attempt to steal #IA02!

This attempt to overturn a certified election is desperate and should be called out for what it is - a partisan power grab."
donations for climate change	Take action now and oppose higher fuel prices!
solar energy	"Government-Controlled Power comes with a price tag of $13,500,000,000  – three times Maine’s annual budget. And Mainers like you would be stuck with the bill.

Click the link to take our poll: https://bit.ly/34w9wFZ. "
advocating for city level politics	"IS PORTSMOUTH READY FOR ITS FIRST WEEK OF 110-DEGREE DAYS?

We doubt it, but we should be. It’s just a question of when it will happen. We believe addressing climate change should be regarded as an emergency and be a top priority for the next and future councils. And there ARE things we can do as both individuals and a community.

Meanwhile:

This week, Councilors Cliff Lazenby and John Tabor for Portsmouth City Council spearheaded the creation of the Portsmouth Energy Advisory Committee. 

Our Sustainable Practices Blue Ribbon Committee is presenting Project Drawdown in the coming weeks to help citizens understand how they can get involved in what needs to be a community-wide effort.

Councilor Lazenby has spearheaded the city’s interest in https://www.cpcnh.org/, a very exciting new development for communities to increase their own production of renewable energy.

https://oneride.peopleforbikes.org/learn-more. "
