theme	tweets
political activism to oppose climate change	"Questions on the May 18 Primary Election Ballot - PLEASE SHARE

When Pennsylvania voters head to the polls on Tuesday, May 18, for the primary election, they will find three questions on the ballot regarding amendments to the state Constitution and one referendum. The first two constitutional questions deal with disaster emergency declarations while the third addresses racial equality. The ballot referendum asks about allowing municipal fire and EMS companies to share access to the existing Fire and Emergency Services Loan Fund with volunteer companies. 

Why Are These Questions Important? 

For more than a year, Pennsylvania has been operating under two long-term disaster emergency declarations imposed by Gov. Tom Wolf. One declaration is related to the opioid epidemic and has been in place for more than three years, while the other was ordered in March 2020 at the start of the pandemic. The governor renewed the COVID-19 declaration for a fourth time in February. 

On Tuesday, May 18, voters will have a say in the duration of future disaster emergency declarations under legislation approved by the General Assembly. Senate Bill 2 proposes to amend the state Constitution regarding disaster declarations in two ways: limiting emergency declarations by a governor to a maximum of 21 days without legislative approval and clarifying that a concurrent resolution terminating or extending a disaster emergency declaration need not be presented to the governor for his signature. 

House Republicans unanimously supported Senate Bill 2 because we believe your voice should be represented at all times, including during states of emergency. Executive powers to declare emergencies are sometimes needed to free up resources for an immediate response to situations such as natural disasters. Disaster emergencies should not be used to circumvent the state Constitution, the separation of powers or – most importantly – the will of the people. 

We voted “yes” because we believe these constitutional amendments would restore the checks and balances that our government was built upon and give power back to the people who elect us to represent their interests. We have given you the choice to determine how you’d like to see disaster declarations handled in the future. 

What You’ll See on the Ballot 

The questions will appear on the May 18 ballot as follows. Voters need to be aware questions one and two were written by the governor’s Department of State using language that is far from impartial. 

Ballot Question #1 

Shall the Pennsylvania Constitution be amended to change existing law and increase the power of the General Assembly to unilaterally terminate or extend a disaster emergency declaration – and the powers of Commonwealth agencies to address the disaster regardless of its severity pursuant to that declaration – through passing a concurrent resolution by simple majority, thereby removing the existing check and balance of presenting a resolution to the Governor for approval or disapproval? 

>> Context for Ballot Question #1 

This proposed amendment comes in response to the governor’s veto of House Resolution 836 of 2020, which would have put an end to the COVID-19 disaster declaration and the governor’s unilateral authority to handle it. While state law authorizes the General Assembly to end disaster declarations with a resolution, the governor insisted – and the court agreed – that resolution was subject to his approval or veto. Under this constitutional amendment, a concurrent resolution terminating or extending a disaster emergency declaration need not be presented to the governor for his signature. 

Ballot Question #2 

Shall the Pennsylvania Constitution be amended to change existing law so that: a disaster emergency declaration will expire automatically after 21 days, regardless of the severity of the emergency, unless the General Assembly takes action to extend the disaster emergency; the Governor may not declare a new disaster emergency to respond to the dangers facing the Commonwealth unless the General Assembly passes a concurrent resolution; the General Assembly enacts new laws for disaster management? 

>> Context for Ballot Question #2 

This proposed amendment comes in response to the TWO extended disaster emergency declarations under which we are currently operating. Under this constitutional amendment, disaster declarations would be limited to no more than 21 days, allowing time for the General Assembly to be called into session and meet possible emergency needs. If a governor believes the declaration should last longer, he or she would have to gain approval of the General Assembly by sharing information and data to prove the need for extending the declaration. Under current law, a governor can declare a disaster emergency for a period of up to 90 days and can renew it as often as he or she likes. 

Several newspapers across the state have written the following editorials on the first two ballot questions. Here are two samples: 

Scranton Times-Tribune – Clarify ballot questions 

Williamsport Sun-Gazette – Fair wording needed for state ballot questions 

Ballot Question #3 (this question is unrelated to emergency declarations)

Shall the Pennsylvania Constitution be amended by adding a new section providing that equality of rights under the law shall not be denied or abridged because of an individual’s race or ethnicity? 

>> Context for Ballot Question #3

If approved by the voters, this amendment would add a new section to Article I of the Pennsylvania Constitution creating a constitutional prohibition against restricting or denying an individual’s equal rights under Pennsylvania law because of race or ethnicity.

Ballot Question #4 (this referendum question is unrelated to emergency declarations)

Do you favor expanding the use of the indebtedness authorized under the referendum for loans to volunteer fire companies, volunteer ambulance services and volunteer rescue squads under 35 pa.c.s. § 7378.1 (relating to referendum for additional indebtedness) to include loans to municipal fire departments or companies that provide services through paid personnel and emergency medical services companies for the purpose of establishing and modernizing facilities to house apparatus equipment, ambulances and rescue vehicles, protective and communications equipment and any other accessory equipment necessary for the proper performance of the duties of the fire companies and emergency medical services companies?

 
>> Context for Ballot Question #4

To strengthen fire and EMS services in Pennsylvania, the General Assembly passed House Bill 1673, which became Act 91 of 2020. The bill contained key provisions including improvements to grant and loan programs for fire companies, new measures to support recruitment and retention of fire personnel and a ballot question to expand the existing “Emergency Services Loan Assistance Fund” to include municipal fire departments. 
 

Who Can Vote on These Ballot Questions? 

All voters will have the opportunity to be heard on these issues at the May 18 primary election. If you are registered as an independent or other third party not typically eligible to vote in the primary election, you are entitled and encouraged to vote on these questions. 

Amending the Constitution is a process reserved entirely for the people of Pennsylvania, not the partisan interests of the governor’s administration. Every amendment to the Pennsylvania Constitution since 1790 has been put before the people for their approval. It is in your hands to determine how your government should function. 

pahousegop.com/voiceofthepeople is the source for this helpful guide."
criticism of liberal tax policy	Sen. Santarsiero voted to support PA’s participation in a program that would limit pollution and boost economic recovery!
indigenous climate justice	Weekly Video Outreach by Chairwoman with a conservative lens, The opinions expressed are her own.  This week the sister Socialism & her brother Communism. There are some spots that pause but stay to the end.
promoting legislation against climate change	Rep. Kim wants to strengthen America's economy with millions of good-paying clean energy jobs - to recover now and build for the future.
pros of wind and solar energy	The Brennan Center in 2016 found that gerrymandering in Michigan, Ohio and Pennsylvania alone was responsible for giving Republicans an additional 16 to 17 more seats in the House than they would have had with fair maps.
criticism for disfavoring US ONG production	"Join us for an interview with Clay Sell, CEO of X-energy. 

He has a deep professional background across many sectors of the U.S. and international energy industry developed during his service in senior level positions in the private sector and government.

Clay completed a 14-year run in government as Deputy Secretary of Energy in the George W. Bush Administration from 2005-2008.

This interview is part of our interview series for Nuclear Science Week!"
kudos for confronting ONG emissions	The San Juan College School of Energy continues developing new programs to train students for new jobs in natural gas production, and is seeking state grants that were established to train workers transitioning away from jobs in another, dying fossil fuel industry — coal.
topic 15	Utility companies want to control how you get your energy. Investing in community solar means more energy options, more yearly savings, and less dependence on coal and natural gas. Read more here: https://www.wisolarcoalition.com/community-solar. 
access to water and promoting renewable energy	Senator John Hickenlooper & Senator Michael Bennet: Investing in clean energy is investing in Colorado jobs.
discussing problems with school board	"Residents of Chittenden County are going to want to take advantage of this unique opportunity 👀

For a limited time we are offering $500 cash to eligible households just for switching to natural gas 💵 💵 💵

How do you get your $500?
✅ Click [Learn More]
✅ Review the Coverage Map
✅ Sign up for a free estimate
✅ Receive $500 cash once the conversion is complete

So don't wait, sign up for a free estimate today!"
promoting news and oped program	"🇺🇸  🇮🇱 Inspired by Scripture (Gen 49 & Deut 33)
Zion Oil & Gas, Inc. (OTCQX: ZNOG) envisions an Israel that is energy independent from onshore oil and gas finds that have been Biblically promised to Israel."
BidenPolicies	Thanks to Joe Biden gas costs over $1 more than it did a year ago.
SaveEnvironment	"Monthly Discussion: “UNITING FOR WORKPLACE PARITY”: How can Employers and Legislators Create Change Together? 
Panelists: CA Assemblymember Dr. Akilah Weber, Former U.S. House Rep Susan Davis, City of Encinitas Mayor Catherine Blakespear, President at Responsible Solutions Lani Lutar. "
AntiLiberalElectionCandidates	Manhattan District Attorney Alvin Bragg is REFUSING to enforce the law. He’s siding with criminals over everyday New Yorkers by downgrading felonies and refusing to prosecute many crimes altogether. Governor Hochul has the power to FIRE DA Bragg for refusing to do his job. Tell her to FIRE him NOW and protect New York families by going to FireAlvinBragg.com.
RisingEnergyCost	Eligible DC residents can save hundreds of dollars on electricity, gas, and water bills through an assistance program.
ProRenewableEnergy	Mountaineer Minute is back with a new season.  We kick off this episode with State Director Jason Huffman, Casey Mattox VP of Legal and Judical Strategy, and Ted Ellis Director of Coalitions for AFP's Federal Goverment Affairs team, as they discuss why Senator Manchin is right to not end the filibuster in the US Senate. To learn more visit: WVvalues.org. 
PoliticalLeadershipTraining	"Richmond VA
Political Leadership School

Click here to register

https://www.facl-training.org/schools/events/richmond-va-pls-02oct2021

– How YOU can become effective in politics and make the politicians do what YOU want

STARTS ON Saturday, October 2nd, 2021 - 9:00 AM

Are you respected by politicians?

Unless you are politically feared, you will not be politically respected.

Learn WHY this works…. Learn HOW YOU can be feared AND respected by politicians in the fight for liberty.

This is practical, no-nonsense training built around cutting-edge political strategies and tactics..

If you are ready to DO something to take back power from the politicians and elites for “We The People,” you NEED to attend this class on Saturday, October 2nd, 2021 in Richmond, VA.

This intense one-day training covers:

The Real Nature of Politics - why just ""educating"" people alone won't result in change;
The Biggest Lie in Politics - and how the political class uses your convictions against you;
How to work effectively at the Capitol - getting a bill sponsor and a roll call vote despite the leadership; and
How to put pressure on legislators.
All of our instructors have years of experience putting these principles to work in multiple states.

Many have worked on federal, state and local campaigns, including major presidential campaigns, and successful campaigns for U.S. Senate and Congress. They know what works, and also what has been proven not to work in getting politicians to vote right.

This class will teach you how to turn your passion into effective action to advance liberty."
BioFuelTheft	"Yesterday on August 19, one of our drivers reported #oiltheft at Chute Gates in Terryville, CT, where thieves had broken into this Buffalo Biodiesel vat, cutting off the lock to rob it. We recycle used fryer oil to make sustainable biofuel, but it’s being targeted by interstate organized crime rings. Please report any info to the Plymouth Police Department. 
The Register Citizen Republican American News 12 Connecticut NBC Connecticut WFSB - Channel 3 Eyewitness News Connecticut Public Hartford Courant Record Journal Hour Newsroom. "
ProUSOil	Trial lawyers are working to cripple LA oil & gas, which will destroy our working coast.
MinorityGroupWomenAdvocacy	Fairbanks members, don't forget to register for next week's chapter luncheon! Oil Search President Joe Balash will join us at the Westmark Hotel on Wednesday, 12/1, from noon to 1 p.m. for an update on the company's 2021/2022 season. Visit our website to register.
DonationsForProRiverPoliticians	Your legislator, Representative Dylan Roberts, was a champion for Colorado’s rivers this legislative session! That means a stronger economy, better resiliency in the face of climate change, and protecting our agricultural heritage. Show your support for our rivers by signing our card today!
SupportForBuildBackBetterAct	"The transportation sector is the largest contributor of greenhouse gas emissions in the U.S. We MUST invest in electric vehicles to tackle the climate crisis. 

Luckily, Sen. Brown is fighting for strong provisions to advance electric vehicles while supporting union jobs in the budget reconciliation package. Let’s get this done!"
WaterPollutionAndContamination	Lake Mead provides water for 25 million people. Its water level has dropped 140 feet since 2000.
ProCleanEnergyPolitician	"Meet Dagan Rash, a mining engineering student at UK! Thanks to people like you purchasing our license plate, he has been able to receive the Friends of Coal Scholarship. 

This scholarship has allowed him to not only receive financial support but also ensures that he will remain dedicated to his studies. After graduation, he is on track to go to grad school, where he will work on his Master's in Mining Engineering and then his MBA. This will allow him to pursue his passion of working as an engineer for a coal company and eventually working his way up to achieve a life-long dream of becoming a CEO."
TPUSALiveAd	"TPUSA LIVE is the unfiltered, grassroots alternative to mainstream media. Watch daily shows, live in-studio content from TPUSA HQ and weekly shows covering politics, pop-culture, sports and everything in-between. Tune in every weekday starting at 5 PM ET / 2 PM PT.

Check out today’s show! 

Human Events Daily host Jack Posobiec discusses President Biden's UN speech, protests breaking out in Australia, & the truth about Afghan refugees coming across the U.S border.

The TPUSA LIVE team talks about Vice President Harris’s address regarding pandemic preparedness, woke corporate culture in today's society, and Netflix’s new Britney Spears documentary coming out soon. 

Benny on the Block host Benny Johnson discusses our border crisis and then watch Real America with Graham Allen as he talks about vaccine mandates for our military, President Biden's foreign relations plans & more. 

Stick around for ""Debate Night"" where Charlie Kirk takes on Leftist, Rashad Richey from the Young Turks debating whether kids should be masked in schools. You don't want to miss that! 

We will wrap up the show with POPlitics with Alex Clark as she dives into Uma Thurman's deepest, darkest secret, Halloween costume ideas, & a Pop-Culture Rewind."
AntiLiberalSpending	The natural gas ban would kill local jobs and hurt Seattle families.
EnergyInfrastructureProjects	"Do you know whose lands you inhabit right now? The United States government has borders and delineations that the average American knows - but that is only one type of map. Check out https://native-land.ca/ where you can search your location, and see who originally inhabited the land you are now on. You can also search by language as well! Whose lands are you on today? Let us know in the comments:

#listentolearn
#nativeamericans
#NODAPL
#indigenoushistory
#nativeamericanroots
#indigenousunited
#indigenouspeople
#SAGE
#SRST
#SAGESRST
#climatejustice
#Renewableenergy
#Windenergy
#SayYestoWind 
#indigenoussovereignty. "
