text	name
One book and one author have changed how American history is taught. America is no longer the good guy but the cause of everyone’s problems. Who is the author? What is the book? And why has it become so popular?	climate action
"In November, a coalition of advocacy organizations filed a lawsuit against the EPA in federal court for failing to intervene in the Central Valley's air quality crisis. ""Our region has suffered epidemic sickness caused by air pollution."". "	climate action
Protect 270 species of wildlife. Protect Indigenous communities' way of life. Protect our climate from further carbon emissions. PROTECT THE ARCTIC REFUGE.	climate action
"Ruth Santiago’s home in southeastern Puerto Rico, in Guayama, is one of a planned 25 homes that will model how the island can revolutionize energy generation through distributed rooftop solar and battery storage. 
 
☀️The people of Guayama live with the effect of coal burning and coal-ash waste from the nearby AES coal-fired power plant there. Coal ash waste is linked to heart disease,  cancer, lung illnesses and neurological disorders. 
 
☀️But, Santiago--an environmental attorney who works with the El Puente Latino Climate Action Network—said the island’s residents don’t have to be captive to fossil fuel interests who are harming public health and contributing to global warming. 
 
☀️Instead, they can be pro-sumers, producing energy, instead of consumers. It’s what she calls energy democracy, where the people have the power instead of the polluters. 
 
☀️Now, with nonprofit funds for coal ash mitigation, the Comite Dialogo Ambiental (Environmental Dialogue Committee) a group in her area is having rooftop solar and battery storage systems installed on 25 rooftops. 
 
“The project drives home the message that clean energy generation alternatives that can be readily implemented and that coal combustion for energy production and its related residual waste can be avoided,” she said, adding: “A radical energy system transformation is doable in Puerto Rico.” 

Head over to our Stories to lean more about Ruth's work advocating for solar in Puerto Rico."	renewables
"The Senate Business and Commerce Committee had a hearing with state regulators this week to get a read on their progress with Winter Storm URI legislation.

One of the things I pride is that the Senators of both parties don’t mind mixing it up with state bureaucrats when necessary if they are NOT getting the clear direction out of our legislation.

Nothing can be clearer - changes in Texas governance, procedures, reporting, preparation, and winterization must follow in the wake of Winter Storm URI. The public expects no less, and I believe we are still short several MW of thermal energy, aka, coal, gas, and nuclear electric generation plants that we'll need in Texas now and in the future.

Greg Groogan's article (https://www.fox26houston.com/news/with-winter-approaching-questions-loom-over-texas-grid-readiness) captures the frustration of several Senators as the Railroad Commission directors do not seem to get the need to proceed post haste on making sure it's clear that we need to be checking on gas pipelines and winterization efforts!

Normally, Senator Whitmire and I can be a bipartisan Q&A tag team in Senate Finance, but here, my colleague Senator Campbell steps up to ask tough questions as I'm not on this particular committee, but very proud of the points they made in the hearing!

The bottom line is what gets measured gets fixed! We know what happened in Winter Storm URI, and we're not going to let this ""fix"" effort drop for any reason. Watch the video and spread the word! Sen. PB. "	renewables
The #natgas industry has proven time and time again how we come together, work hard, innovate and get things done. Hear more from AGA CEO Karen Harbert and AGA Chair and NW Natural CEO David Anderson on how America’s natural gas utilities will continue to play an important role in the nation’s energy mix via POWER magazine:. 	renewables
"Click the link to take our poll: https://bit.ly/31N2eg2
Government-Controlled Power comes with a price tag of $13,500,000,000  – three times Maine’s annual budget. And Mainers like you would be stuck with the bill."	SchoolBoardFinances/GasInfrastructure
Did you know that the price of crude oil is one of the biggest determining factors of gas prices? Learn more about the way gas prices are determined. 	SchoolBoardFinances/GasInfrastructure
"As the nation faces wildfires, droughts and storms made worse by climate change, the need to #cutmethane has never been more urgent. 

Thank you to Senator John Hickenlooper & Senator Michael Bennet for urging strong federal EPA pollution rules that follow CO's lead. https://bit.ly/2ZNFYBw. "	climate action
"Ameren Missouri isn’t switching from dirty fossil fuels​ to clean energy fast enough. It’s worsening the climate crisis, and costing us our planet. 

Expose the cost of its dirty power at https://sc.org/Dirty-Truth. "	CleanEnergyGoals
