theme	tweets
AntiGunBan	"The right to vote is enshrined in the US Constitution, and it is a right and a privilege for all those who are citizens to exercise! So, it shouldn't come as a surprise to anyone that we need to screen our Texas voter roll against non-citizens voting in our elections, and in this front page story by Jeremy Wallace, “GOP plans a push for purge of voter rolls,” —- https://www.houstonchronicle.com/politics/texas/article/Here-comes-another-Texas-voter-purge-but-this-16464794.php —- explains what in SB 1 was changed to do this comparison correctly in the future, as maintaining a voter roll with integrity is paramount to having election results both the candidates and the public can trust!

Basically, the bill sets up guidelines on citizenship cross checks using DPS data of the type I advocated for 15 years ago as Harris County Voter Registrar to the Federal Congress. You see, the ""Feds"" could have provided a citizenship list for decades if they wanted to, but we are the largest nation on Earth without one...

Therefore, it's up to the Texas Secretary of State Elections Division to use the DPS data correctly, and yes, to begin a ""purge"" process of voter rolls with local election officials giving the voter a chance to respond to the letter. This happens every two years by federal law - a ""purge"" of those voters who have moved or died, etc... and is not some ""Draconian,"" ""Republican"" operation, but one that should happen in every state in the union by federal law, NVRA, HAVA, the Real ID Act, and now in Texas with the passage of SB 1!

When I first got the Voter Registrar job in 1998 in Harris County as Tax Assessor-Collector, there were 50k deceased and felon registrations on the voter roll - 1% of them were voting! If we hadn't cleaned up these registrations, 500 of them could have decided the presidential election in 2000 like they did in Florida. It's why I was Senator Hughes's 1st co-author on SB 1, as I knew how bad the voter rolls can be from actual experience! --- Sen. PB. "
AntiGunBan	"Joe Biden promised he had a plan to “shut down the virus.” He lied and he failed. Now he wants to shut down businesses. 

Biden’s coercive tactics are un-American, unconstitutional, and won’t work to actually get people vaccinated. Biden and his administration conceded as much.The reason vaccination rates have stalled is because of Joe Biden.
*    He sowed doubt about the vaccine during the campaign – he never apologized.
*    He lied about who developed the vaccine as president.
*    He insulted Americans with questions about the vaccine.

Now, after he has been exposed as a failure and a liar, he has embraced coercive authoritarian tactics. Here are just a few of the lines from his draconian speech:

*    He came out against “freedom or personal choice.”
*    He threatened to get elected state leaders ""out of the way” if they don’t cooperate.
*    He hurried from questions, refusing to answer if his orders are constitutional.

You can be pro-vaccine but anti-coercion. This is America. We believe in freedom and personal choice, and we reject hypocritical wannabe tyrants drunk on power and desperately trying to distract from their own failures."
EnvironmentalConservation	"It's critical that our Senators, Michael Bennet and John Hickenlooper, hear from you.

They are fighting to tackle the climate crisis, and we need them to continue to lead if we are going to meet the scale of the crises we face.

𝐓𝐡𝐞 𝐭𝐢𝐦𝐞 𝐢𝐬 𝐧𝐨𝐰!"
EnvironmentalConservation	"1.73 million border encounters in the last 12 months alone. We’re in a crisis of unthinkable proportions because the Biden Administration has abdicated its duty to defend our borders.
 
I believe in the power of action and the danger of inaction. That’s why, as your #AG, I’ll use every tool to secure the border and protect our communities."
SchoolBoardFinances/GasInfrastructure	"Biden’s First 100 Days?!? By Saul Anuzis  May 23, 2021 

For all my liberal, Trump hating friends and family:

Just look what has happened in the past 100 days.

For those who voted for this jackass... are you feeling any buyer’s remorse yet? Is dealing with this really better than dealing with President Trump who may put up a tweet that hurts your feelings, but actually ran our country properly? 

So.....Russia is massing troops on the border with Ukraine. Ukraine is threatening to take Crimea back by force. China is threatening Taiwan and its neighbors while also threatening our ships and Navy. N Korea is testing missiles again and restarting their nuclear weapons program. Iran has been emboldened and is making more than their normal threats. 

 Our southern border is a humanitarian disaster caused directly by this administration, and the administration that promised transparency is hiding it and not letting the media have access. Ford is closing a plant and moving it to Mexico after just bringing it back from Mexico because of the current Administration’s plan for increased taxes.

Price of steel up 145% 
Lumber 126%
Wheat up 25% 
Food index up 25% 
Cotton 35% 
Silver 38% 
Copper 50% 
Soybeans 71% 
Oil 80%
 
Pipeline jobs lost
Wall construction jobs lost

1.9 trillion in stimulus that funds the administrations pet projects and only paid a fraction to the people. 
29 trillion in debt with 4.8 trillion projected 2021 deficit before the 2 trillion dollar stimulus proposed today for the new green deal. 

9+% unemployment with millions of job openings that can’t be filled because federal unemployment assistance makes it more advantageous for people to stay home than work.
  
All in the first 70 days. The current president is a disaster! Hold on tight, the next 4 years are going to be a rough ride. All I'm saying is...you Biden supporters aren’t posting very much about the great things he’s doing.

-Saul Anuzis

Do you miss him yet? Democrats who have finally had enough can leave the party that has left them and join the party working 24/7 to Make America Great Again! Dems can make the switch at their Supervisor of Elections Office or online at the State of Florida website https://registertovoteflorida.gov/home. "
SchoolBoardFinances/GasInfrastructure	CA politicians are putting already struggling families at risk by threatening their jobs and livelihoods with a statewide energy shutdown. This would further increase the price of gas and household utility costs for California families, and put our local economy at risk.
AntiGridDeregulation/PoliticalActionAds	"We need all Patriots to help us Restore Virginia.  

Unless you are politically feared, you will not be politically respected.

Learn WHY this works…. Learn HOW YOU can be feared AND respected by politicians in the fight for liberty.

This is practical, no-nonsense training built around cutting-edge political strategies and tactics.

If you are tired of crony-capitalism, corporate handouts and politicians only looking out for their next re-election, this class might be for you.

If you are ready to DO something to take back power from the politicians and elites for “We The People,” you NEED to attend this class on Saturday, August 14, 2021 in Norfolk , VA.

This intense one-day training covers:

The Real Nature of Politics - why just ""educating"" people alone won't result in change;

The Biggest Lie in Politics - and how the political class uses your convictions against you;

How to work effectively at the Capitol - getting a bill sponsor and a roll call vote despite the leadership; and

How to put pressure on legislators.

All of our instructors have years of experience putting these principles to work in multiple states.

Many have worked on federal, state and local campaigns, including major presidential campaigns, and successful campaigns for U.S. Senate and Congress. They know what works, and also what has been proven not to work in getting politicians to vote right.

This class will teach you how to turn your passion into effective action to advance liberty.
If you’re ready to learn how to be effective AND feared by politicians, click here to register for this class on Saturday, August 14, 2021 in Norfolk , VA. We’ll even throw in lunch."
AntiGridDeregulation/PoliticalActionAds	"We need all Patriots to help us Restore Virginia.

Unless you are politically feared, you will not be politically respected.

Learn WHY this works…. Learn HOW YOU can be feared AND respected by politicians in the fight for liberty.

This is practical, no-nonsense training built around cutting-edge political strategies and tactics.

If you are tired of crony-capitalism, corporate handouts and politicians only looking out for their next re-election, this class might be for you.

If you are ready to DO something to take back power from the politicians and elites for “We The People,” you NEED to attend this class on Saturday, July 17th, 2021 in Lexington , VA.

This intense one-day training covers:

The Real Nature of Politics - why just ""educating"" people alone won't result in change;
The Biggest Lie in Politics - and how the political class uses your convictions against you;
How to work effectively at the Capitol - getting a bill sponsor and a roll call vote despite the leadership; and
How to put pressure on legislators.
All of our instructors have years of experience putting these principles to work in multiple states.

Many have worked on federal, state and local campaigns, including major presidential campaigns, and successful campaigns for U.S. Senate and Congress. They know what works, and also what has been proven not to work in getting politicians to vote right.

This class will teach you how to turn your passion into effective action to advance liberty.

If you’re ready to learn how to be effective AND feared by politicians, click here to register for this class on Saturday, July 17th, 2021 in Lexington , VA. We’ll even throw in lunch."
CleanEnergyGoals	Investing in state parks, wildlife, forests, and public lands keeps Colorado thriving. Thank you for investing in these irreplaceable public health and economic resources.
CleanEnergyGoals	Infrastructure enables wind power and creates jobs. Congress must take action now.
BellbrookSugarcreekConservativeElections	"“Kim McCarthy owes us an apology.”
Kim McCarthy, the township trustee candidate, refused to stand for the American Flag and recite the Pledge.

She took a knee at a public meeting in full view of everyone there. 

The late  Supreme Court Justice spoke about this. Kim McCarthy should read this. 

The liberal Supreme Court Justice Ruth Bader Ginsburg would say McCarthy was ridiculous. 

McCarthy needs to apologize to everyone for her horrible action.

""Not standing for the anthem shows a “contempt for a government that has made it possible for their parents and grandparents to live a decent life … Which they probably could not have lived in the places they came from … as they became older, they realize that this was youthful folly. And that’s why education is important,” Supreme Court Justice Ruth Bader Ginsburg told Katie Couric at the time. 

“I think it’s a terrible thing to do, but I wouldn’t lock a person up for doing it. 

I would point out how ridiculous it seems to me to do such an act.” RUTH BADER GINSBURG

Kim McCarthy should never hold public office and hold power over our community."
BellbrookSugarcreekConservativeElections	New York Republican Chairman Nick Langworthy brings his statewide “Just Say No” tour to Utica to highlight the Party’s opposition to the November election ballot propositions.
